metric,linkage,k_best,sil_best,sil_at_2,sil_at_3,coph_corr,n
cosine,average,3,0.4622436558052366,0.44579069397749216,0.4622436558052366,0.7950644634285435,8
cosine,complete,3,0.4622436558052366,0.44579069397749216,0.4622436558052366,0.7862418961606378,8
euclidean,average,2,0.4280274641406995,0.4280274641406995,0.2803964394056047,0.9114458936544351,8
euclidean,complete,2,0.4280274641406995,0.4280274641406995,0.2803964394056047,0.9003648812021365,8
euclidean,ward,2,0.4280274641406995,0.4280274641406995,0.2803964394056047,0.8768110223985751,8
correlation,average,3,0.4250464246650111,0.2823641246037203,0.4250464246650111,0.6985480276304784,8
correlation,complete,3,0.4250464246650111,0.2726143935164095,0.4250464246650111,0.6635673670464366,8
