predictor,n,rho,BF10,P_rho_gt_0_post,ci_lo,ci_hi,boot_P_rho_gt_0_boot,log10BF10,ci_width,pretty_label
idv,35,-0.3215492772130749,1.1512199910232963,0.0345,-0.5953722843658324,0.019274208177508,0.031,0.061158322550962804,0.6146464925433405,Individualism (IDV)
ivr,27,-0.3466303141648596,1.0530407000593665,0.04455,-0.6347946250384168,0.0364463438161977,0.03865,0.022445157006575053,0.6712409688546145,Indulgence (IVR)
lto,31,0.1527904867163047,0.3123329307584174,0.78815,-0.246077326530424,0.5026370439695872,0.78395,-0.5053822236061976,0.7487143705000112,Long-term orientation (LTO)
pdi,35,-0.1384366753990381,0.2881983086070163,0.2268,-0.5405295487014764,0.2607990132230933,0.25355,-0.5403085723242331,0.8013285619245697,Power distance (PDI)
uai,35,-0.1164896441992021,0.264372354087139,0.25795,-0.471106988079061,0.2603779221181889,0.26835,-0.5777839618004301,0.7314849101972498,Uncertainty avoidance (UAI)
mas,35,0.0225723669212023,0.2166908489476119,0.54845,-0.3490337216317903,0.4130115276418193,0.54425,-0.6641594289453999,0.7620452492736096,Masculinity (MAS)
