,cat__Question_... if she burns the food,cat__Question_... for at least one specific reason,cat__Demographics Response_Higher,cat__Question_... if she refuses to have sex with him,cat__Question_... if she argues with him,cat__Demographics Response_Urban,cat__Gender_F,cat__Question_... if she goes out without telling him,cat__Demographics Response_Secondary,cat__Demographics Response_Employed for kind
Afghanistan,0.2161574759767542,0.20839965576225047,0.027922641772061045,0.17262553477309603,0.07592072209920796,0.01144771531652933,0.02498839269092906,0.11631612821614094,0.004997526438181606,0.004869889634652448
Madagascar,0.16386871888970087,0.12867058127613462,0.061575248825198145,0.26434512207740074,0.19498223678020438,0.006407078865600054,0.005954739196268683,0.034883254634915345,0.005162087650010458,0.009071381384960343
Gambia,0.18854037971718943,0.13235896980146153,0.11626054982560917,0.005014343992478483,0.0523985959214021,0.04779794392830308,0.06018975690971536,0.004329296993506054,0.029072384956391417,0.03243781295134328
Mali,0.23119404403347849,0.09959881604564813,0.11595727703860673,0.02800901370014713,0.02999545582072417,0.05445788730559376,0.11797963716136398,0.04796156991126729,0.032427405968343544,0.01640764399594399
Morocco,0.06398245803363578,0.09738145591917922,0.22937375861089698,0.01640806046994836,0.002012099612371711,0.0890600416951511,0.0,0.0014558968642376172,0.12310491852046633,0.0743201530696457
