metric,linkage,k_best,sil_best,coph_corr,n
euclidean,average,2,0.5675071273724003,0.7817814975317611,66
euclidean,complete,2,0.5675071273724003,0.698668621802047,66
cosine,average,2,0.5286345311561621,0.7751656507357706,66
correlation,average,4,0.5161876404183126,0.7174083202654892,66
correlation,complete,4,0.5161876404183126,0.7005339247378031,66
cosine,complete,3,0.5123004181943769,0.7046451432614723,66
euclidean,ward,3,0.3215655969499814,0.5120756926882535,66
