predictor,n,rho,BF10,P_rho_gt_0_post,post_ci_low,post_ci_high,ci_lo,ci_hi,boot_P_rho_gt_0,log10BF10,ci_width,pretty_label
gdi,67,-0.5674429783838255,60955.80459262659,0.0,-0.7015959991356119,-0.3585705002976699,-0.7155210544225623,-0.3742537381194895,0.0,4.785015068158102,0.34126731630307283,Gender Development Index (GDI)
hdi,69,-0.5013245645604466,2589.2377916605037,0.0,-0.6504988444607532,-0.2873019996159038,-0.6886413098299556,-0.274295627046731,0.0,3.413171937211118,0.41434568278322464,Human Development Index (HDI)
electoral-democracy-index,70,-0.4969379366483587,2427.423621648125,0.0,-0.6466510698072208,-0.2845612262373128,-0.6789213474757396,-0.2714339406906764,0.0,3.3851455738143965,0.40748740678506323,Electoral democracy
liberal-democracy-index,70,-0.4330944946068827,166.03350577736518,5e-05,-0.5962835437021169,-0.2088182463242645,-0.6256686785290627,-0.2028712391172386,0.0001,2.220195738075475,0.4227974394118241,Liberal democracy
gii,66,0.4435201039313142,161.3955215690338,0.99985,0.214814457786561,0.6090150846983073,0.1907828670990337,0.6641199830241844,0.99975,2.2078914796745246,0.4733371159251507,Gender Inequality Index (GII)
women-political-empowerment-index,70,-0.3949573950623763,44.24016555212241,0.0005,-0.5652074475569469,-0.1629091855818153,-0.585342751791104,-0.1688852944990987,0.00075,1.6458167434828694,0.41645745729200523,Women political empowerment
