iso3,Violence_part2_all,gii_latest,gii_year,gdi_latest,gdi_year,hdi_latest,hdi_year,electoral-democracy-index_year,electoral-democracy-index_latest,women-political-empowerment-index_year,women-political-empowerment-index_latest,liberal-democracy-index_year,liberal-democracy-index_latest
SWZ,9.95,0.484,2023.0,0.964,2023.0,0.695,2023.0,2024,0.13,2024,0.388,2024,0.097
TJK,46.05,0.258,2023.0,0.926,2023.0,0.691,2023.0,2024,0.174,2024,0.462,2024,0.05
TZA,29.3,0.504,2023.0,0.951,2023.0,0.555,2023.0,2024,0.415,2024,0.838,2024,0.368
TLS,44.65,0.394,2023.0,0.939,2023.0,0.634,2023.0,2024,0.733,2024,0.786,2024,0.549
TGO,12.05,0.564,2023.0,0.865,2023.0,0.571,2023.0,2024,0.355,2024,0.707,2024,0.173
TUR,5.25,0.227,2023.0,0.938,2023.0,0.853,2023.0,2024,0.288,2024,0.609,2024,0.117
TKM,36.3,,,,,0.764,2023.0,2024,0.149,2024,0.43,2024,0.033
UGA,23.6,0.524,2023.0,0.908,2023.0,0.582,2023.0,2024,0.272,2024,0.698,2024,0.201
UKR,2.35,,,1.038,2023.0,0.779,2023.0,2024,0.389,2024,0.869,2024,0.233
YEM,28.2,0.838,2023.0,0.407,2023.0,0.47,2023.0,2024,0.127,2024,0.185,2024,0.047
ZMB,23.9,0.524,2023.0,0.949,2023.0,0.595,2023.0,2024,0.51,2024,0.82,2024,0.392
ZWE,16.6,0.519,2023.0,0.944,2023.0,0.598,2023.0,2024,0.27,2024,0.708,2024,0.156
