indicator,n,spearman_r,BF10,P_rho_gt_0_post,post_ci_low,post_ci_high,boot_ci_low,boot_ci_high,boot_P_rho_gt_0
gdi,67,-0.5674429783838255,60955.80459262659,0.0,-0.7015959991356119,-0.35857050029766996,-0.7155210544225623,-0.37425373811948953,0.0
hdi,69,-0.5013245645604466,2589.2377916605033,0.0,-0.6504988444607532,-0.28730199961590386,-0.6886413098299556,-0.27429562704673105,0.0
electoral-democracy-index,70,-0.4969379366483587,2427.423621648125,0.0,-0.6466510698072208,-0.2845612262373128,-0.6789213474757396,-0.27143394069067645,0.0
liberal-democracy-index,70,-0.4330944946068827,166.03350577736518,5e-05,-0.5962835437021169,-0.2088182463242645,-0.6256686785290627,-0.20287123911723867,0.0001
gii,66,0.4435201039313142,161.3955215690338,0.99985,0.21481445778656102,0.6090150846983073,0.19078286709903372,0.6641199830241844,0.99975
women-political-empowerment-index,70,-0.39495739506237637,44.24016555212241,0.0005,-0.5652074475569469,-0.1629091855818153,-0.585342751791104,-0.1688852944990987,0.00075
