Country,Spearman_RF_DT_top20,Spearman_RF_XGB_top20,Spearman_DT_XGB_top20,Jaccard_RF_DT_top20,Jaccard_RF_XGB_top20,Jaccard_DT_XGB_top20
Afghanistan,0.4224806201550388,0.8662337662337661,0.2647058823529412,0.6,0.9047619047619048,0.5384615384615384
Albania,0.3193798449612403,0.5623762376237623,-0.05736434108527131,0.6,0.7391304347826086,0.6
Angola,0.6186440677966102,0.796943231441048,0.6085271317829456,0.8181818181818182,0.6666666666666666,0.6
Armenia,0.49844961240310076,0.5192139737991266,0.3682170542635658,0.6,0.6666666666666666,0.6
Azerbaijan,0.48992248062015503,0.6131004366812227,0.19100346020761247,0.6,0.6666666666666666,0.5384615384615384
Bangladesh,0.42139737991266374,0.6471615720524019,0.26124031007751936,0.6666666666666666,0.6666666666666666,0.6
Benin,0.5812227074235807,0.6253275109170305,0.32868217054263565,0.6666666666666666,0.6666666666666666,0.6
Bolivia,0.31004366812227074,0.4790697674418605,0.06593886462882095,0.6666666666666666,0.6,0.6666666666666666
Burkina Faso,0.5108527131782945,0.6873362445414847,0.31683168316831684,0.6,0.6666666666666666,0.7391304347826086
Burundi,0.6445414847161574,0.6504950495049504,0.5947598253275109,0.6666666666666666,0.7391304347826086,0.6666666666666666
Cambodia,0.4906976744186047,0.6282485875706215,0.472318339100346,0.6,0.8181818181818182,0.5384615384615384
Cameroon,0.46816608996539794,0.4724890829694323,0.04161490683229814,0.5384615384615384,0.6666666666666666,0.48148148148148145
Chad,0.5410852713178295,0.9242937853107345,0.4391003460207612,0.6,0.8181818181818182,0.5384615384615384
Colombia,0.5991266375545852,0.7744360902255639,0.5331877729257641,0.6666666666666666,1.0,0.6666666666666666
Comoros,0.5821705426356589,0.8158192090395481,0.3091703056768559,0.6,0.8181818181818182,0.6666666666666666
Congo,0.5270742358078603,0.9344632768361583,0.4937984496124031,0.6666666666666666,0.8181818181818182,0.6
Congo Democratic Republic,0.6100775193798449,0.8451977401129944,0.5809688581314879,0.6,0.8181818181818182,0.5384615384615384
Cote d_Ivoire,0.6372093023255815,0.4792079207920792,0.19689922480620153,0.6,0.7391304347826086,0.6
Dominican Republic,0.8062146892655369,0.5580786026200873,0.3947598253275109,0.8181818181818182,0.6666666666666666,0.6666666666666666
Egypt,0.7694915254237288,0.44263565891472867,0.505240174672489,0.8181818181818182,0.6,0.6666666666666666
Eritrea,0.7468926553672316,0.7222707423580786,0.7455445544554454,0.8181818181818182,0.6666666666666666,0.7391304347826086
Eswatini,0.30697674418604654,0.39147286821705424,-0.14037267080745344,0.6,0.6,0.48148148148148145
Ethiopia,0.65764192139738,0.6502183406113538,0.7449612403100775,0.6666666666666666,0.6666666666666666,0.6
Gabon,0.5534883720930233,0.4643410852713178,0.25813953488372093,0.6,0.6,0.6
